"","year","rank","restaurant","location","country","lat","lng"
"278",2007,28,"Le Gavroche","London","United Kingdom",51.5072178,-0.1275862
"279",2007,29,"Le Cinq","Paris","France",48.8575475,2.3513765
"280",2007,30,"Charlie Trotter's","Chicago","United States",41.8781136,-87.6297982
"281",2007,31,"Dal Pescatore","Canneto sull'Oglio","Italy",45.1515537,10.3828899
"282",2007,32,"Daniel","New York","United States",40.7127753,-74.0059728
"283",2007,33,"Rockpool","Sydney","Australia",-33.8688197,151.2092955
"284",2007,34,"St John","London","United Kingdom",51.5072178,-0.1275862
"285",2007,35,"Chez Dominique","Helsinki","Finland",60.1698556,24.938379
"286",2007,36,"Alinea","Chicago","United States",41.8781136,-87.6297982
"287",2007,37,"Bukhara","New Delhi","India",28.6139298,77.2088282
"288",2007,38,"D.O.M.","São Paulo","Brazil",-23.5557714,-46.6395571
"289",2007,39,"Oaxen Krog","Stockholm","Sweden",59.3293234,18.0685808
"290",2007,40,"Chez Panisse","Berkeley","United States",37.8715226,-122.273042
"291",2007,41,"Enoteca Pinchiorri","Florence","Italy",43.7699685,11.2576706
"292",2007,42,"Cracco Peck","Milan","Italy",45.468503,9.18240269
"293",2007,43,"Arpège","Paris","France",48.8575475,2.3513765
"294",2007,44,"River Café","London","United Kingdom",51.5072178,-0.1275862
"295",2007,45,"Oud Sluis","Sluis","Netherlands",51.3086558,3.3879195
"296",2007,46,"Combal Zero","Rivoli","Italy",45.0704608,7.5198702
"297",2007,47,"Le Quartier Français","Franschhoek","South Africa",-33.9127211,19.1212795
"298",2007,48,"Taillevent","Paris","France",48.8575475,2.3513765
"299",2007,49,"Bocuse","Lyon","France",45.764043,4.835659
"300",2007,50,"Les Ambassadeurs","Paris","France",48.8575475,2.3513765
"301",2008,1,"El Bulli","Roses","Spain",42.2639489,3.1795528
"302",2008,2,"The Fat Duck","Maidenhead","United Kingdom",51.5225605,-0.7243082
"303",2008,3,"Pierre Gagnaire","Paris","France",48.8575475,2.3513765
"304",2008,4,"Mugaritz","San Sebastian","Spain",43.318237,-1.9817051
"305",2008,5,"The French Laundry","Yountville","United States",38.401578,-122.3608105
"306",2008,6,"Per Se","New York","United States",40.7127753,-74.0059728
"307",2008,7,"Bras","Laguiole","France",44.683579,2.845605
"308",2008,8,"Arzak","San Sebastian","Spain",43.318237,-1.9817051
"309",2008,9,"Tetsuya's","Sydney","Australia",-33.8688197,151.2092955
"310",2008,10,"Noma","Copenhagen","Denmark",55.6760968,12.5683371
"311",2008,11,"L'Astrance","Paris","France",48.8575475,2.3513765
"312",2008,12,"Gambero Rosso","Vernazza","Italy",44.1353502,9.6827957
"313",2008,13,"Restaurant Gordon Ramsay","London","United Kingdom",51.5072178,-0.1275862
"314",2008,14,"L'Atelier Saint Germain De Joël Robuchon","Paris","France",48.8575475,2.3513765
"315",2008,15,"Le Louis XV","Monaco","Monaco",43.7384176,7.42461579
"316",2008,16,"St John","London","United Kingdom",51.5072178,-0.1275862
"317",2008,17,"Jean Georges","New York","United States",40.7127753,-74.0059728
"318",2008,18,"Alain Ducasse au Plaza Athénée","Paris","France",48.8575475,2.3513765
"319",2008,19,"Hakkasan","London","United Kingdom",51.5072178,-0.1275862
"320",2008,20,"Le Bernardin","New York","United States",40.7127753,-74.0059728
"321",2008,21,"Alinea","Chicago","United States",41.8781136,-87.6297982
"322",2008,22,"Le Gavroche","London","United Kingdom",51.5072178,-0.1275862
"323",2008,23,"Dal Pescatore","Canneto sull'Oglio","Italy",45.1515537,10.3828899
"324",2008,24,"Le Cinq","Paris","France",48.8575475,2.3513765
"325",2008,25,"Troisgros","Paris","France",48.8575475,2.3513765
"326",2008,26,"El Celler de Can Roca","Girona","Spain",41.9794005,2.8214264
"327",2008,27,"L'Hotel de Ville - Philippe Rochat","Crissier","Switzerland",46.5518687,6.5743458
"328",2008,28,"Hof van Cleve","Kruishoutem","Belgium",50.9044989,3.5281414
"329",2008,29,"Martin Berasategui","Lasarte-Oria","Spain",43.2684377,-2.0178149
"330",2008,30,"Nobu","London","United Kingdom",51.5072178,-0.1275862
"331",2008,31,"Can Fabes","Barcelona","Spain",41.3873974,2.168568
"332",2008,32,"Enoteca Pinchiorri","Florence","Italy",43.7699685,11.2576706
"333",2008,33,"Le Meurice","Paris","France",48.8575475,2.3513765
"334",2008,34,"Vendôme","Bergisch Gladbach","Germany",50.9896478,7.1229789
"335",2008,35,"Die Schwarzaldstube","Baiersbronn","Germany",48.5089458,8.3706727
"336",2008,36,"Le Calandre","Rubano","Italy",45.4262382,11.7937858
"337",2008,37,"Chez Panisse","Berkeley","United States",37.8715226,-122.273042
"338",2008,38,"Charlie Trotter's","Chicago","United States",41.8781136,-87.6297982
"339",2008,39,"Chez Dominique","Helsinki","Finland",60.1698556,24.938379
"340",2008,40,"D.O.M.","São Paulo","Brazil",-23.5557714,-46.6395571
"341",2008,41,"Daniel","New York","United States",40.7127753,-74.0059728
"342",2008,42,"Oud Sluis","Sluis","Netherlands",51.3086558,3.3879195
"343",2008,43,"Ristorante Cracco","Milan","Italy",45.468503,9.18240269
"344",2008,44,"Asador Etxebarri","Axte","Spain",40.463667,-3.74922
"345",2008,45,"Les Ambassadeurs","Paris","France",48.8575475,2.3513765
"346",2008,46,"Arpège","Paris","France",48.8575475,2.3513765
"347",2008,47,"Tantris","München","Germany",48.1351253,11.5819806
"348",2008,48,"Oaxen Krog","Stockholm","Sweden",59.3293234,18.0685808
"349",2008,49,"Rockpool","Sydney","Australia",-33.8688197,151.2092955
"350",2008,50,"Le Quartier Français","Franschhoek","South Africa",-33.9127211,19.1212795
